Unnamed: 0,mmr0,mmr1,mmr2,mmr3,mmr4,mmr5,mmr6,mmr7,mmr8,mmr9,mmr10,mmr11,mmr12,mmr13,mmr14,mmr15,mmr16,mmr17,mmr18,mmr19,mmr20,mmr21,mmr22,mmr23,mmr24,mmr25,mmr26,mmr27,mmr28,mmr29,mmr30,mmr31,mmr32,mmr33,mmr34,mmr35,mmr36,mmr37,mmr38,mmr39,mmr40,mmr41,mmr42,mmr43,mmr44,mmr45,mmr46,mmr47,mmr48,mmr49,mmr50,mmr51,mmr52,mmr53,mmr54,mmr55,mmr56,mmr57,mmr58,mmr59,mmr60,mmr61,mmr62,mmr63,mmr64,mmr65,mmr66,mmr67,mmr68,mmr69,mmr70,mmr71,mmr72,mmr73,mmr74,mmr75,mmr76,mmr77,mmr78,mmr79,mmr80,mmr81,mmr82,mmr83,mmr84,mmr85,mmr86,mmr87,mmr88,mmr89,mmr90,mmr91,mmr92,mmr93,mmr94,mmr95,mmr96,mmr97,mmr98,mmr99
18,9023.9,8887.92,9087.21,9053.49,9080.63,8918.8,9063.27,9030.23,9144.29,9096.78,8841.07,9001.78,9038.81,9044.27,9025.39,8969.2,8948.16,9049.49,9111.86,8842.59,9162.49,8910.49,9163.56,8909.05,8976.45,8899.3,9061.67,8943.36,8999.63,8935.52,9033.23,8850.96,9065.53,9024.66,8901.59,9067.42,9005.59,8992.71,9032.26,9085.82,9054.71,9021.24,9014.33,8930.16,8937.16,8991.31,9018.35,8981.86,9012.98,9002.45,9022.48,8862.46,9033.7,8996.01,9011.68,9101.44,9014.96,9077.13,9055.58,9024.21,9023.01,8836.64,9087.04,9014.4,9131.5,9013.12,8910.17,9010.74,8872.22,9039.71,9063.63,9101.95,8997.07,9104.03,9181.38,9098.14,8923.97,9050.86,8988.79,8993.6,9065.07,9012.12,9154.99,9069.66,9102.19,8920.32,9051.55,9032.75,9028.11,8898.87,8949.73,8984.9,8915.86,9192.98,9011.09,9094.28,8963.14,9085.2,8983.83,8914.48
19,8758.55,8744.63,8904.57,8785.68,8846.11,8836.76,8785.53,8796.71,8915.64,8750.36,8690.15,8818.91,8632.18,8914.61,8793.06,8713.98,8769.42,8773.8,8815.98,8650.9,8879.35,8764.94,8896.09,8777.89,8755.42,8634.72,8828.71,8722.57,8800.89,8796.39,8773.95,8800.58,8920.56,8773.65,8847.04,8964.94,8780.06,8743.97,8859.03,8757.56,8828.65,8854.96,8856.65,8875.61,8835.63,8792.5,8777.6,8804.53,8899.1,8850.78,8818.29,8654.88,8882.73,8853.6,8893.91,8852.78,8850.65,8803.35,8698.25,8773.75,8721.87,8725.28,8943.01,8854.32,8846.49,8734.43,8764.35,8872.59,8691.46,8859.98,8900.51,8946.52,8839.69,8794.13,8929.85,8849.98,8695.2,8793.09,8827.25,8726.02,8889.43,8768.99,8780.43,8828.91,8952.32,8734.24,8844.78,8790.1,8833.18,8748.25,8782.19,8687.33,8760.37,8868.34,8757.36,8945.15,8757.99,8931.77,8826.26,8712.46
20,8536.36,8546.67,8574.95,8506.21,8599.39,8574.65,8654.74,8371.79,8574.98,8553.84,8406.64,8616.83,8557.33,8581.12,8649.02,8532.64,8628.87,8620.35,8582.86,8390.09,8586.97,8517.16,8648.95,8628.91,8626.66,8412.49,8698.53,8547.83,8544.57,8471.88,8538.81,8582.16,8710.55,8443.97,8604.52,8619.96,8569.52,8562.77,8549.29,8564.51,8539.44,8535.22,8634.19,8616.8,8529.95,8618.86,8509.5,8571.67,8648.2,8654.18,8492.13,8464.83,8603.07,8545.69,8568.93,8603.98,8519.42,8619.47,8622.59,8467.55,8696.47,8422.36,8620.23,8566.06,8652.51,8618.85,8550.26,8649.19,8410.36,8583.59,8618.62,8636.83,8430.75,8648.61,8702.7,8683.95,8593.6,8510.72,8488.84,8527.86,8635.67,8605.75,8608.39,8600.56,8618.54,8527.04,8663.6,8485.48,8617.16,8500.46,8569.69,8489.78,8557.21,8599.81,8598.17,8623.84,8609.77,8610.27,8449.93,8451.6
21,8858.07,8809.03,8943.41,8860.69,8936.93,8784.87,8819.98,8879.31,8974.15,8901.8,8749.34,8856.73,8825.93,8892.89,8834.03,8833.85,8863.56,8783.17,8854.7,8701.36,8892.64,8706.78,8982.22,8794.46,8821.6,8751.71,8839.53,8681.66,8888.32,8792.13,8870.37,8766.45,8893.85,8815.35,8847.87,8870.3,8818.19,8767.8,8756.35,8859.7,8748.47,8840.71,8912.57,8839.4,8805.55,8847.04,8881.45,8816.51,8887.24,8722.13,8833.56,8719.04,8883.89,8788.35,8888.79,8854.53,8858.67,8904.43,8749.98,8843.17,8804.25,8689.64,8838.47,8772.79,8895.22,8906.98,8798.84,8906.96,8796.06,8929.36,9013.32,8911.54,8812.85,8853.02,9022.61,8915.8,8755.57,8903.15,8888.64,8816.54,8930.75,8805.82,8904.91,8861.27,8816.12,8717.12,8874.63,8884.85,8934.32,8755.75,8815.94,8810.62,8811.3,8879.9,8783.05,8887.38,8838.03,8894.86,8868.8,8784.02
22,8573.39,8547.38,8587.28,8566.04,8525.21,8558.99,8523.58,8507.2,8635.68,8548.23,8420.32,8538.35,8496.28,8567.25,8572.35,8424.83,8548.64,8507.78,8574.08,8471.58,8566.15,8525.9,8641.66,8595.07,8538.97,8471.63,8536.06,8478.6,8541.68,8481.6,8564.47,8572.97,8638.12,8451.03,8617.9,8624.91,8434.38,8537.27,8498.96,8587.89,8426.32,8512.5,8597.26,8584.3,8454.26,8496.88,8590.72,8555.54,8557.44,8539.81,8519.32,8340.53,8554.65,8547.53,8563.86,8623.74,8495.98,8516.08,8450.27,8626.91,8567.59,8478.77,8668.14,8492.28,8667.33,8607.81,8486.7,8610.73,8437.91,8632.33,8635.06,8641.35,8463.68,8570.28,8657.43,8589.23,8491.42,8599.42,8609.77,8534.15,8514.71,8499.24,8665.09,8588.06,8584.99,8478.45,8555.89,8541.14,8617.2,8483.23,8520.61,8544.78,8511.93,8542.31,8494.6,8533.89,8590.16,8630.83,8521.01,8471.59
23,8475.87,8419.97,8521.11,8495.57,8429.74,8442.41,8410.51,8370.96,8495.41,8486.97,8363.71,8498.4,8427.72,8552.08,8527.14,8371.81,8466.01,8415.97,8512.59,8369.55,8430.83,8422.93,8554.46,8353.13,8507.26,8310.8,8462.74,8499.29,8415.06,8437.62,8520.7,8509.66,8467.5,8430.92,8569.39,8495.96,8435.68,8361.23,8411.51,8481.76,8390.43,8463.47,8400.32,8541.61,8396.24,8442.14,8475.98,8451.44,8450.14,8463.4,8419.76,8251.53,8406.96,8411.27,8531.53,8561.53,8395.37,8413.67,8365.74,8392.04,8514.59,8370.52,8438.86,8417.65,8493.97,8492.21,8459.53,8518.43,8391.1,8418.86,8449.41,8582.44,8439.12,8452.97,8509.16,8497.81,8445.93,8500.92,8374.92,8463.55,8364.53,8397.87,8505.43,8421.79,8389.17,8373.0,8447.38,8448.68,8429.3,8373.82,8540.18,8438.63,8476.78,8444.4,8416.33,8540.95,8503.47,8556.78,8379.53,8317.95
24,8600.7,8578.59,8646.21,8431.13,8635.04,8501.53,8523.8,8464.01,8616.48,8537.01,8422.12,8524.69,8532.62,8687.46,8643.71,8501.98,8602.35,8564.38,8633.59,8470.97,8612.8,8492.58,8685.66,8547.34,8644.91,8499.65,8563.08,8543.71,8568.28,8477.35,8546.0,8464.07,8577.84,8513.97,8569.38,8616.75,8447.12,8552.53,8554.71,8542.45,8457.46,8649.82,8655.34,8629.08,8473.99,8528.15,8500.93,8573.48,8656.11,8562.42,8538.47,8383.02,8604.31,8529.02,8598.69,8591.07,8583.86,8599.61,8541.43,8479.07,8631.93,8489.91,8537.81,8555.36,8609.31,8655.52,8545.96,8590.74,8519.01,8598.4,8610.0,8603.48,8520.04,8431.03,8648.72,8612.76,8521.3,8578.35,8560.57,8597.45,8538.62,8543.91,8565.97,8635.1,8585.53,8525.65,8587.79,8528.29,8504.71,8539.89,8557.7,8527.77,8534.38,8619.66,8516.52,8573.05,8527.8,8591.64,8433.51,8506.75
25,8472.75,8415.89,8488.24,8427.89,8495.46,8428.99,8430.48,8353.38,8496.01,8462.73,8300.91,8385.21,8450.88,8521.12,8466.42,8322.51,8395.41,8467.88,8532.1,8346.97,8425.25,8454.12,8567.61,8453.67,8423.1,8393.58,8422.75,8368.74,8420.77,8425.05,8424.11,8441.05,8469.05,8382.33,8474.57,8431.44,8224.8,8325.23,8368.79,8453.2,8470.55,8424.18,8577.85,8440.42,8426.73,8431.32,8434.44,8467.2,8467.45,8486.35,8374.68,8266.22,8429.34,8475.55,8474.58,8558.37,8391.18,8468.47,8341.98,8353.94,8437.01,8314.82,8449.38,8485.6,8533.56,8511.71,8417.94,8508.29,8366.89,8528.57,8375.11,8496.59,8378.13,8324.98,8460.66,8537.19,8327.35,8444.85,8516.49,8424.33,8385.48,8351.3,8410.36,8445.34,8497.36,8307.79,8499.66,8443.01,8384.3,8403.14,8416.94,8376.43,8422.48,8574.02,8391.69,8355.61,8422.38,8537.98,8315.86,8376.48
26,8396.69,8207.46,8277.97,8201.36,8265.73,8329.02,8204.79,8179.31,8275.17,8325.65,8201.44,8324.6,8269.54,8318.79,8303.88,8232.49,8331.92,8245.75,8324.8,8175.88,8138.35,8235.99,8375.3,8264.8,8254.94,8241.14,8206.54,8296.57,8258.13,8283.94,8316.43,8258.98,8327.01,8302.79,8331.54,8319.59,8178.48,8331.91,8246.61,8263.1,8284.34,8269.14,8306.73,8386.42,8283.5,8387.64,8257.81,8258.5,8346.63,8300.3,8191.03,8176.38,8315.69,8305.97,8348.76,8401.18,8300.96,8291.33,8215.19,8322.74,8392.86,8309.91,8331.37,8322.94,8306.28,8332.73,8256.33,8293.75,8266.67,8368.84,8352.27,8319.86,8294.82,8278.4,8394.26,8307.24,8375.01,8287.32,8281.4,8315.1,8176.72,8274.0,8289.67,8179.44,8242.13,8285.53,8217.51,8255.21,8328.12,8268.65,8370.59,8193.63,8294.89,8254.56,8266.52,8229.4,8326.23,8407.75,8269.56,8199.52
27,8253.82,8281.99,8352.36,8170.54,8274.08,8205.1,8233.16,8235.16,8196.69,8359.61,8083.21,8214.03,8222.26,8279.44,8299.19,8149.69,8340.78,8268.44,8310.32,8194.79,8216.72,8233.84,8458.68,8272.51,8322.19,8210.62,8210.11,8277.17,8102.19,8243.2,8246.8,8156.52,8169.86,8286.52,8272.01,8206.55,8177.06,8174.57,8207.47,8362.75,8310.58,8252.3,8308.06,8373.98,8222.33,8320.83,8244.93,8201.97,8323.81,8290.76,8207.18,8079.21,8321.68,8249.02,8311.9,8348.73,8150.05,8333.05,8161.1,8264.33,8278.81,8234.35,8329.95,8330.19,8318.37,8298.13,8205.79,8347.9,8223.95,8367.71,8254.48,8187.25,8268.31,8291.61,8320.06,8328.93,8250.68,8252.57,8294.29,8261.06,8187.97,8233.02,8262.53,8301.0,8361.19,8137.71,8315.86,8201.09,8292.0,8262.43,8260.29,8178.01,8276.05,8300.18,8166.15,8315.34,8317.3,8284.24,8214.16,8123.23
